Bölge (Düzey-2),Ýl Adý,Ýlçe Adý,Ýl-Ýlçe,ilce_no
"TR22-GUNEY MARMARA-(BALIKESIR, CANAKKALE)",CANAKKALE,GOKCEADA,CANAKKALE-GOKCEADA,965
"TR22-GUNEY MARMARA-(BALIKESIR, CANAKKALE)",CANAKKALE,LAPSEKI,CANAKKALE-LAPSEKI,642
"TR22-GUNEY MARMARA-(BALIKESIR, CANAKKALE)",CANAKKALE,YENICE,CANAKKALE-YENICE,551
TR31-IZMIR-(IZMIR),IZMIR,ALIAGA,IZMIR-ALIAGA,397
TR31-IZMIR-(IZMIR),IZMIR,BALCOVA,IZMIR-BALCOVA,331
TR31-IZMIR-(IZMIR),IZMIR,BAYINDIR,IZMIR-BAYINDIR,291
TR31-IZMIR-(IZMIR),IZMIR,BAYRAKLI,IZMIR-BAYRAKLI,337
TR31-IZMIR-(IZMIR),IZMIR,BERGAMA,IZMIR-BERGAMA,427
TR31-IZMIR-(IZMIR),IZMIR,BEYDAG,IZMIR-BEYDAG,266
TR31-IZMIR-(IZMIR),IZMIR,BORNOVA,IZMIR-BORNOVA,335
TR31-IZMIR-(IZMIR),IZMIR,BUCA,IZMIR-BUCA,306
TR31-IZMIR-(IZMIR),IZMIR,CESME,IZMIR-CESME,332
TR31-IZMIR-(IZMIR),IZMIR,CIGLI,IZMIR-CIGLI,363
TR31-IZMIR-(IZMIR),IZMIR,DIKILI,IZMIR-DIKILI,477
TR31-IZMIR-(IZMIR),IZMIR,FOCA,IZMIR-FOCA,384
TR31-IZMIR-(IZMIR),IZMIR,GAZIEMIR,IZMIR-GAZIEMIR,311
TR31-IZMIR-(IZMIR),IZMIR,GUZELBAHCE,IZMIR-GUZELBAHCE,310
TR31-IZMIR-(IZMIR),IZMIR,KARABAGLAR,IZMIR-KARABAGLAR,312
TR31-IZMIR-(IZMIR),IZMIR,KARABURUN,IZMIR-KARABURUN,340
TR31-IZMIR-(IZMIR),IZMIR,KARSIYAKA,IZMIR-KARSIYAKA,362
TR31-IZMIR-(IZMIR),IZMIR,KEMALPASA,IZMIR-KEMALPASA,318
TR31-IZMIR-(IZMIR),IZMIR,KINIK,IZMIR-KINIK,428
TR31-IZMIR-(IZMIR),IZMIR,KIRAZ,IZMIR-KIRAZ,279
TR31-IZMIR-(IZMIR),IZMIR,KONAK,IZMIR-KONAK,334
TR31-IZMIR-(IZMIR),IZMIR,MENDERES,IZMIR-MENDERES,253
TR31-IZMIR-(IZMIR),IZMIR,MENEMEN,IZMIR-MENEMEN,368
TR31-IZMIR-(IZMIR),IZMIR,NARLIDERE,IZMIR-NARLIDERE,329
TR31-IZMIR-(IZMIR),IZMIR,ODEMIS,IZMIR-ODEMIS,261
TR31-IZMIR-(IZMIR),IZMIR,SEFERIHISAR,IZMIR-SEFERIHISAR,304
TR31-IZMIR-(IZMIR),IZMIR,SELCUK,IZMIR-SELCUK,226
TR31-IZMIR-(IZMIR),IZMIR,TIRE,IZMIR-TIRE,245
TR31-IZMIR-(IZMIR),IZMIR,TORBALI,IZMIR-TORBALI,270
TR31-IZMIR-(IZMIR),IZMIR,URLA,IZMIR-URLA,303
